cluster,n_cells,sil_gamma,sil_expr,invisibility
Alpha,481,0.11166419833898544,-0.03726893290877342,0.14893313124775887
Beta,591,0.09358866512775421,-0.03951733931899071,0.13310600444674492
Delta,70,0.27680933475494385,0.13610060513019562,0.14070872962474823
Ductal,916,0.11881079524755478,-0.02412515878677368,0.14293595403432846
Epsilon,142,0.21523746848106384,-0.01118418201804161,0.22642165049910545
Ngn3 high EP,642,0.15246927738189697,0.03757705166935921,0.11489222571253777
Ngn3 low EP,262,0.10422652214765549,0.061510246247053146,0.04271627590060234
Pre-endocrine,592,0.11143723130226135,-0.10206162929534912,0.21349886059761047
