dataset,cluster,n_cells,n_substates,silhouette_gamma,silhouette_expression,silhouette_gap,min_substate_size
pancreas,Epsilon,142,3,0.2762249708175659,-0.04204709827899933,0.31827206909656525,31
pancreas,Pre-endocrine,592,3,0.23063556849956512,-0.02018704265356064,0.25082261115312576,54
pancreas,Delta,70,2,0.30281537771224976,0.122490294277668,0.18032508343458176,23
pancreas,Ductal,916,3,0.24777796864509583,0.12387313693761826,0.12390483170747757,161
pancreas,Beta,591,3,0.20985127985477448,0.1490466445684433,0.06080463528633118,137
pancreas,Ngn3 high EP,642,2,0.263796329498291,0.24667905271053314,0.017117276787757874,196
pancreas,Alpha,481,2,0.19732025265693665,0.2033812254667282,-0.006060972809791565,220
pancreas,Ngn3 low EP,262,2,0.23251330852508545,0.2553240656852722,-0.022810757160186768,63
