gene_symbol,half_life_hours
AGO3,6.258
AGO4,5.503
AGPAT1,37.024
AGPAT2,11.122
AGPAT3,8.821
AGPAT4,4.181
AGPAT5,6.019
AGPS,8.699
AGRN,18.506
AGRP,4.042
AGTPBP1,6.796
AGTRAP,19.789
AGXT,10.544
AHCTF1,1.8
AHCY,48.112
AHCYL1,17.448
AHCYL2,9.161
AHDC1,0.833
AHI1,5.662
AHNAK,5.772
AHNAK2,6.484
AHR,0.992
AHRR,2.628
AHSA1,11.419
AICDA,1.34
AIDA,26.004
AIF1L,21.77
AIFM1,30.84
AIFM2,6.875
AIG1,22.037
AIM2,4.423
AIMP1,11.808
AIMP2,4.095
AIP,10.396
AIPL1,9.05
AIRE,4.707
AJUBA,2.644
AK2,22.127
AK3,17.132
AK4,8.934
AK5,7.783
AK6,4.964
AK7,5.141
AK9,10.486
AKAP1,2.995
AKAP10,1.615
AKAP11,5.073
AKAP12,6.483
AKAP13,1.309
AKAP3,9.009
AKAP5,2.181
AKAP6,3.32
AKAP7,4.458
AKAP8,2.112
AKAP8L,7.109
AKIP1,10.15
AKIRIN1,3.177
AKIRIN2,1.172
AKNA,2.499
AKR1A1,18.431
AKR1B1,66.583
AKR1C3,21.682
AKR7A2,31.123
AKR7A3,4.969
AKT1,23.091
AKT1S1,13.13
AKT2,16.668
AKT3,5.427
AKTIP,6.344
ALAD,11.886
ALAS1,3.365
ALCAM,8.708
ALDH16A1,25.172
ALDH18A1,20.463
ALDH1A2,28.434
ALDH1A3,9.712
ALDH1B1,3.326
ALDH1L1,12.588
ALDH1L2,12.161
ALDH2,101.993
ALDH3A1,16.517
ALDH3A2,12.155
ALDH3B1,17.412
ALDH4A1,20.442
ALDH5A1,31.762
ALDH6A1,24.097
ALDH7A1,29.885
ALDH9A1,16.856
ALDOA,49.099
ALDOC,54.236
ALG1,8.677
ALG10,5.29
ALG10B,5.58
ALG12,11.862
ALG13,10.285
ALG14,6.33
ALG2,1.385
ALG3,19.098
ALG5,7.272
ALG6,8.783
ALG8,26.618
ALG9,10.701
ALKBH1,1.536
ALKBH2,2.808
ALKBH3,6.0
ALKBH4,0.875
ALKBH7,19.769
ALKBH8,2.891
ALMS1,3.52
ALOX15B,5.294
ALOX5,44.0
ALOX5AP,29.976
ALPI,11.518
ALPK1,3.941
ALPK3,4.738
ALPL,42.637
ALS2,3.242
ALS2CL,5.867
ALX1,0.809
ALX3,2.81
ALX4,1.371
AMACR,2.644
AMBP,28.783
AMBRA1,1.509
AMD1,1.28
AMDHD2,9.046
AMER1,1.673
AMFR,14.183
AMH,13.123
AMHR2,6.906
AMIGO1,1.459
AMIGO2,1.437
AMIGO3,3.563
AMMECR1,6.017
AMMECR1L,1.09
AMN1,11.004
AMOTL1,3.023
AMOTL2,0.617
AMPD2,8.406
AMPD3,3.766
AMPH,7.66
AMT,11.218
AMY2B,2.141
AMZ2,22.015
ANAPC1,5.382
ANAPC10,2.544
ANAPC11,44.539
ANAPC13,4.802
ANAPC15,31.956
ANAPC16,34.73
ANAPC4,6.634
ANAPC5,30.343
ANGEL1,7.994
ANGEL2,4.68
ANGPT1,2.658
ANGPTL4,1.987
ANGPTL6,6.763
ANK1,5.854
ANK2,3.885
ANK3,5.658
ANKAR,3.522
ANKDD1A,9.766
ANKEF1,3.556
ANKFY1,4.543
ANKH,9.831
ANKHD1,4.013
ANKHD1-EIF4EBP3,2.827
ANKIB1,4.411
ANKK1,5.073
ANKLE1,6.172
ANKLE2,3.859
ANKMY1,2.61
ANKMY2,4.123
ANKRA2,2.779
ANKRD1,1.229
ANKRD10,7.923
ANKRD11,3.776
ANKRD12,2.106
ANKRD13A,8.785
ANKRD13B,12.136
ANKRD13C,3.37
ANKRD13D,2.825
ANKRD16,2.408
ANKRD17,2.289
ANKRD18A,3.839
ANKRD18B,3.655
ANKRD2,30.715
ANKRD23,7.455
ANKRD24,13.217
ANKRD26,3.279
ANKRD27,4.57
ANKRD28,4.694
ANKRD29,6.188
ANKRD34A,2.14
ANKRD34B,4.703
ANKRD36,3.989
ANKRD36B,3.842
ANKRD39,6.841
ANKRD40,2.797
ANKRD42,5.56
ANKRD44,2.456
ANKRD46,4.113
ANKRD49,1.009
ANKRD50,0.783
ANKRD52,9.44
ANKRD53,5.55
ANKRD54,3.216
ANKRD6,6.497
ANKRD9,6.964
ANKS1A,3.15
ANKS3,8.511
ANKS6,8.677
ANKZF1,4.67
ANLN,5.132
ANO10,13.11
ANO4,5.112
ANO5,5.791
ANO6,7.255
ANO7,3.284
ANO8,15.321
ANOS1,7.173
ANP32A,13.433
ANP32B,12.601
ANP32E,20.63
ANPEP,14.615
ANTKMT,27.525
ANTXR1,8.62
ANTXR2,4.216
ANXA1,20.133
ANXA11,21.792
ANXA2,44.63
ANXA2R,1.515
ANXA3,16.218
ANXA4,26.136
ANXA5,34.59
ANXA6,35.877
ANXA7,14.012
ANXA9,13.891
AOC2,4.474
AOC3,8.783
AOPEP,3.742
AP1AR,6.209
AP1B1,32.678
AP1G1,4.06
AP1G2,17.08
AP1M1,12.807
AP1M2,14.285
AP1S1,42.941
AP1S2,20.693
AP1S3,4.659
AP2A2,9.584
AP2B1,28.29
AP2M1,62.015
AP2S1,23.757
AP3B1,9.575
AP3B2,18.282
AP3D1,10.343
AP3M1,9.801
AP3M2,5.99
AP3S1,33.929
AP3S2,7.455
AP4B1,3.193
AP4E1,3.709
AP4M1,4.402
AP4S1,8.298
AP5B1,1.044
AP5M1,3.488
AP5S1,1.966
AP5Z1,7.08
APAF1,4.288
APBA1,4.81
APBA2,8.79
APBA3,4.962
APBB1,12.1
APBB1IP,5.677
APBB2,3.011
APBB3,10.007
APC,1.75
APC2,5.386
APCDD1,2.593
APCDD1L,4.86
APEH,31.697
APEX1,9.926
APEX2,3.193
APH1A,22.149
APH1B,7.873
API5,11.76
APIP,14.467
APLF,4.382
APLP1,48.21
APLP2,66.448
APMAP,25.741
APOA1,11.547
APOA2,6.569
APOBEC3B,34.907
APOBEC3C,16.753
APOBEC3D,9.131
APOBEC3F,5.19
APOBEC3G,7.011
APOBEC3H,23.517
APOC1,44.089
APOE,11.425
APOL1,5.586
APOL3,1.329
APOL6,2.262
APOLD1,2.538
APOM,17.324
APOO,28.434
APOOL,12.316
APP,39.35
APPBP2,2.407
APPL1,6.818
APPL2,7.641
APRT,38.364
AQP1,8.895
AQP11,2.862
AQP2,5.45
AQP3,15.651
AQP5,9.149
AQP7,8.11
AQP8,4.544
AQR,6.191
AR,2.109
ARAF,11.425
ARAP1,11.264
ARAP2,1.677
ARAP3,9.483
ARC,0.547
ARCN1,5.838
AREL1,4.078
ARF1,15.345
ARF3,27.358
ARF4,14.945
ARF5,39.995
ARF6,1.031
ARFGAP1,6.49
ARFGAP2,6.979
ARFGAP3,6.413
ARFGEF1,4.301
ARFGEF3,6.717
ARFIP1,4.226
ARFIP2,7.873
ARFRP1,8.024
ARG2,14.133
ARGLU1,3.719
ARHGAP1,7.988
ARHGAP10,3.688
ARHGAP11A,3.305
ARHGAP12,1.879
ARHGAP15,5.529
ARHGAP17,5.387
ARHGAP18,7.246
ARHGAP19,6.041
ARHGAP20,0.738
ARHGAP21,3.008
ARHGAP22,2.038
ARHGAP23,3.97
ARHGAP24,0.63
ARHGAP25,1.153
ARHGAP26,3.015
ARHGAP27,2.545
ARHGAP29,1.784
ARHGAP30,7.438
ARHGAP31,1.683
ARHGAP33,15.251
ARHGAP39,3.696
ARHGAP4,17.483
ARHGAP44,5.809
ARHGAP45,20.819
ARHGAP5,4.041
ARHGAP6,6.69
ARHGAP8,5.891
ARHGAP9,6.67
ARHGDIA,16.668
ARHGDIB,17.554
ARHGDIG,31.923
ARHGEF1,18.282
ARHGEF10L,2.293
ARHGEF11,3.485
ARHGEF12,8.515
ARHGEF15,2.818
ARHGEF16,6.379
ARHGEF17,3.368
ARHGEF18,4.207
ARHGEF19,5.219
ARHGEF2,2.638
ARHGEF25,11.79
ARHGEF26,1.616
ARHGEF28,2.146
ARHGEF3,1.022
ARHGEF37,2.773
ARHGEF39,3.498
ARHGEF4,5.224
ARHGEF40,4.903
ARHGEF5,2.073
ARHGEF6,18.116
ARHGEF7,2.296
ARHGEF9,6.606
ARID1A,1.305
ARID1B,1.969
ARID2,1.748
ARID3A,3.003
ARID3B,2.796
ARID4A,1.417
ARID4B,1.056
ARID5A,1.499
ARID5B,0.482
ARIH1,2.684
ARIH2,9.531
ARL1,14.474
ARL10,6.049
ARL13B,3.988
ARL14EP,1.547
ARL15,4.114
ARL16,13.11
ARL17A,5.069
ARL17B,1.656
ARL2,20.236
ARL3,22.037
ARL4A,0.649
ARL4C,0.874
ARL4D,0.497
ARL5A,8.922
ARL5B,1.865
ARL6,4.287
ARL6IP1,10.27
ARL6IP4,32.315
ARL6IP5,13.495
ARL6IP6,10.534
ARL8A,2.334
ARL8B,11.15
ARMC1,3.825
ARMC10,12.486
ARMC2,6.764
ARMC5,1.751
ARMC6,6.836
ARMC7,1.573
ARMC8,2.652
ARMCX1,3.411
ARMCX2,5.363
ARMCX3,7.986
ARMCX4,3.341
ARMCX5,2.604
ARMCX6,3.139
ARMT1,7.738
ARNT,6.289
ARNT2,2.938
ARNTL,3.203
ARNTL2,7.881
ARPC1A,17.59
ARPC1B,29.373
ARPC2,31.988
ARPC3,38.054
ARPC5,16.284
ARPC5L,3.954
ARPIN,10.652
ARPIN-AP3S2,11.402
ARPP19,7.359
ARRB1,6.748
ARRB2,18.06
ARRDC1,12.971
ARRDC2,1.48
ARRDC3,0.45
ARRDC4,1.294
ARSA,22.262
ARSB,15.321
ARSD,13.123
ARSG,5.609
ARSJ,1.267
ARSK,8.123
ART5,9.392
ARTN,2.637
ARVCF,8.262
ARX,4.828
AS3MT,17.028
ASAH1,30.067
ASAH2B,2.862
ASAP1,2.767
ASAP2,3.3
ASAP3,6.376
ASB1,3.405
ASB13,2.755
ASB16,6.516
ASB2,5.752
ASB3,4.117
ASB6,1.713
ASB7,0.716
ASB8,2.23
ASB9,41.568
ASCC1,7.474
ASCC2,11.862
ASCC3,6.144
ASCL1,0.724
ASF1A,2.983
ASF1B,5.542
ASGR1,7.124
ASH1L,1.817
ASH2L,6.473
ASIC1,14.408
ASL,19.001
ASMTL,19.728
ASNS,35.987
ASNSD1,2.947
ASPH,19.95
ASPHD1,13.884
ASPHD2,1.39
ASPM,3.928
ASPRV1,9.029
ASPSCR1,12.26
ASRGL1,26.618
ASS1,38.208
ASTE1,0.734
ASTN2,6.319
ASXL1,2.65
ASXL2,1.882
ATAD1,6.169
ATAD2,3.912
ATAD2B,2.116
ATAD3A,21.42
ATAD3B,10.843
ATAD3C,15.205
ATAD5,2.173
ATAT1,7.606
ATE1,4.373
