gene_symbol,half_life_hours
Abhd14b,18.965
Abhd15,1.636
Abhd16a,7.433
Abhd17a,6.564
Abhd17b,1.078
Abhd17c,1.667
Abhd2,4.077
Abhd4,32.848
Abhd5,7.816
Abhd6,3.935
Abhd8,19.912
Abi1,3.473
Abi2,3.454
Abi3,3.042
Abitram,4.666
Abl1,1.4
Abl2,0.566
Ablim1,3.861
Ablim2,12.953
Ablim3,7.473
Abo,2.544
Abr,4.7
Abracl,11.106
Abraxas1,1.954
Abt1,1.029
Abtb1,4.216
Abtb2,0.796
Acaa1a,19.413
Acaa1b,14.954
Acaa2,23.259
Acaca,4.866
Acacb,13.463
Acad10,48.61
Acad11,28.728
Acad8,10.508
Acad9,14.848
Acadl,15.685
Acadm,19.042
Acads,10.131
Acadsb,35.846
Acadvl,30.657
Acap1,20.136
Acap2,3.47
Acap3,4.169
Acat1,42.513
Acat2,14.432
Acat3,16.056
Acbd3,1.23
Acbd4,5.153
Acbd5,8.521
Acbd6,6.831
Acbd7,17.468
Accs,5.916
Acd,14.698
Ace,7.439
Acer3,2.438
Ache,11.888
Acin1,8.142
Ackr3,0.824
Acly,18.831
Acmsd,9.336
Aco1,10.556
Aco2,32.025
Acot1,7.302
Acot10,11.34
Acot11,1.829
Acot13,25.458
Acot2,4.868
Acot3,7.097
Acot6,2.314
Acot7,21.553
Acot8,7.031
Acot9,9.832
Acox1,9.523
Acox3,5.919
Acoxl,13.921
Acp1,8.942
Acp2,8.093
Acp5,19.552
Acp6,13.293
Acpp,3.967
Acr,4.951
Acrbp,4.043
Acsbg1,2.503
Acsf2,15.685
Acsf3,10.972
Acsl1,4.54
Acsl3,2.992
Acsl4,4.628
Acsl5,15.527
Acsl6,7.89
Acsm1,23.425
Acss1,3.9
Acss2,35.268
Acta1,5.695
Acta2,15.749
Actb,13.497
Actc1,13.851
Actg1,4.205
Actg2,38.603
Actl6a,7.019
Actl7a,12.848
Actl7b,15.308
Actn1,15.076
Actn2,13.449
Actn3,11.673
Actn4,16.637
Actr10,11.567
Actr1a,9.842
